Time: 163.000000, Points: 5.518702, Fuel Used: 72.911489
Time: 164.000000, Points: 5.518702, Fuel Used: 73.515604
SPH1: Time: 160.000000, Points: 7.289809, Fuel Used: 64.628212
Time: 161.000000, Points: 7.313713, Fuel Used: 64.975143
Time: 162.000000, Points: 7.333462, Fuel Used: 65.501587
Time: 163.000000, Points: 7.349790, Fuel Used: 66.045292
Time: 164.000000, Points: 7.363635, Fuel Used: 66.563103
SPH2: Time: 165.000000, Points: 5.518702, Fuel Used: 74.081745
Time: 166.000000, Points: 5.518702, Fuel Used: 74.596106
Time: 167.000000, Points: 5.518702, Fuel Used: 75.051781
Time: 168.000000, Points: 5.518702, Fuel Used: 75.452223
Time: 169.000000, Points: 5.518702, Fuel Used: 75.804337
SPH1: Time: 165.000000, Points: 7.363635, Fuel Used: 67.143055
Time: 166.000000, Points: 7.363635, Fuel Used: 67.615990
Time: 167.000000, Points: 7.363635, Fuel Used: 68.107912
Time: 168.000000, Points: 7.363635, Fuel Used: 68.601561
Time: 169.000000, Points: 7.363635, Fuel Used: 68.957125
SPH2: Time: 170.000000, Points: 5.518702, Fuel Used: 76.106394
Time: 171.000000, Points: 5.518702, Fuel Used: 76.361847
Time: 172.000000, Points: 5.518702, Fuel Used: 76.574150
Time: 173.000000, Points: 5.518702, Fuel Used: 76.750208
Time: 174.000000, Points: 5.518702, Fuel Used: 76.888290
SPH1: Time: 170.000000, Points: 7.363635, Fuel Used: 69.324772
Time: 171.000000, Points: 7.363635, Fuel Used: 69.661350
Time: 172.000000, Points: 7.363635, Fuel Used: 69.875380
Time: 173.000000, Points: 7.363635, Fuel Used: 70.123930
Time: 174.000000, Points: 7.363635, Fuel Used: 70.343138
SPH2: Time: 175.000000, Points: 5.518702, Fuel Used: 77.003935
Time: 176.000000, Points: 7.018702, Fuel Used: 77.104046
Time: 177.000000, Points: 6.518702, Fuel Used: 77.192074
SPH1: Time: 175.000000, Points: 7.363635, Fuel Used: 70.481220
Time: 176.000000, Points: 8.363635, Fuel Used: 70.638290

